comuna,count
13,4896
21,4652
15,4268
14,3985
18,3386
6,3101
16,2600
8,2485
20,2295
7,2041
11,2033
1,2010
10,1882
12,1805
17,1601
4,1461
2,1425
3,1372
9,1340
19,1291
5,1100
22,155
