year,comuna,hour,weekday,month,count
2010,2,0,5,4,1
2010,2,0,5,5,2
2010,2,0,5,6,1
2010,2,0,5,10,5
2010,2,0,5,11,1
2010,2,0,6,1,1
2010,2,0,6,5,1
2010,2,0,6,6,1
2010,2,0,6,7,1
2010,2,1,0,3,1
2010,2,1,1,6,1
2010,2,1,3,1,1
2010,2,1,3,9,1
2010,2,1,4,3,1
2010,2,1,5,2,2
2010,2,1,5,3,1
2010,2,1,5,9,1
2010,2,1,6,5,1
2010,2,2,0,4,1
2010,2,2,2,6,1
2010,2,2,3,5,1
2010,2,2,3,6,1
2010,2,2,4,3,1
2010,2,2,5,1,1
2010,2,2,5,2,1
2010,2,2,5,3,1
2010,2,2,5,6,1
2010,2,2,5,10,1
2010,2,2,5,12,1
2010,2,2,6,9,2
2010,2,3,0,5,1
2010,2,3,1,10,1
2010,2,3,1,11,1
2010,2,3,2,12,1
2010,2,3,4,11,1
2010,2,3,5,3,1
2010,2,3,5,8,1
2010,2,3,6,1,1
2010,2,3,6,8,1
2010,2,3,6,10,1
2010,2,4,0,1,1
2010,2,4,0,7,1
2010,2,4,0,11,1
2010,2,4,2,4,1
2010,2,4,3,2,1
2010,2,4,4,4,1
2010,2,4,5,2,1
2010,2,4,5,9,2
2010,2,4,6,9,2
2010,2,5,0,3,1
2010,2,5,0,9,1
2010,2,5,2,2,1
2010,2,5,5,1,1
2010,2,5,6,2,1
2010,2,5,6,3,1
2010,2,5,6,5,1
2010,2,5,6,7,1
2010,2,6,0,6,1
2010,2,6,0,9,1
2010,2,6,1,3,1
2010,2,6,1,8,2
2010,2,6,2,6,1
2010,2,6,3,10,1
2010,2,6,4,1,1
2010,2,6,4,12,4
2010,2,6,5,5,1
2010,2,6,6,2,1
2010,2,6,6,4,1
2010,2,6,6,6,1
2010,2,7,0,1,2
2010,2,7,0,3,1
2010,2,7,0,8,1
2010,2,7,0,11,2
2010,2,7,1,1,1
2010,2,7,2,2,1
2010,2,7,2,4,1
2010,2,7,3,3,1
2010,2,7,3,8,1
2010,2,7,4,2,2
2010,2,7,4,3,1
2010,2,7,4,7,1
2010,2,7,5,7,1
2010,2,7,6,9,1
2010,2,7,6,10,1
2010,2,8,0,2,1
2010,2,8,0,4,2
2010,2,8,0,5,1
2010,2,8,0,6,1
2010,2,8,0,8,1
2010,2,8,1,2,1
2010,2,8,1,6,2
2010,2,8,1,7,1
2010,2,8,1,10,1
2010,2,8,2,2,1
2010,2,8,2,6,1
2010,2,8,2,8,1
2010,2,8,2,10,1
2010,2,8,2,12,1
2010,2,8,3,5,1
2010,2,8,3,7,1
2010,2,8,3,8,1
2010,2,8,4,3,3
2010,2,8,4,4,2
2010,2,8,4,5,1
2010,2,8,4,7,1
2010,2,8,5,3,1
2010,2,8,5,5,1
2010,2,8,5,9,1
2010,2,8,5,11,1
2010,2,8,6,7,1
2010,2,9,0,1,1
2010,2,9,0,2,1
2010,2,9,0,3,1
2010,2,9,0,5,1
2010,2,9,0,12,1
2010,2,9,1,2,1
2010,2,9,1,3,1
2010,2,9,1,5,1
2010,2,9,1,8,1
2010,2,9,1,9,1
2010,2,9,1,10,1
2010,2,9,1,12,1
2010,2,9,2,3,1
2010,2,9,2,4,1
2010,2,9,2,6,1
2010,2,9,2,7,1
2010,2,9,2,9,1
2010,2,9,2,11,1
2010,2,9,2,12,1
2010,2,9,3,3,1
2010,2,9,3,4,2
2010,2,9,3,5,1
2010,2,9,3,7,2
2010,2,9,3,8,1
2010,2,9,3,9,1
2010,2,9,3,11,1
2010,2,9,3,12,1
2010,2,9,4,4,2
